tipo_del_edificio,edificio,direccin,distrito,clase,unidades,consumo,puesta_en_servicio,potencia_kwp,empresa_instaladora
mixto,csc_montecarmelo,avenida_monasterio_de_silos_57_28049_madrid,fuencarral_el_pardo,gas,m3,00,20220401,nan,empresa_desconocida
mixto,csc_oporto,avenida_oporto_78_28019_madrid,carabanchel,energía_activa,kwh,00,20220401,nan,empresa_desconocida
mixto,csc_oporto,avenida_oporto_78_28019_madrid,carabanchel,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
mixto,csc_rosario_de_acuña,calle_maria_del_carmen_65_28011_madrid,latina,energía_activa,kwh,38550,20220401,nan,empresa_desconocida
mixto,csc_rosario_de_acuña,calle_maria_del_carmen_65_28011_madrid,latina,energía_reactiva,kvarh,1060,20220401,nan,empresa_desconocida
social,css_entrevías,calle_yuste_8_28053_madrid,puente_de_vallecas,energía_activa,kwh,115540,20220401,nan,empresa_desconocida
social,css_entrevías,calle_yuste_8_28053_madrid,puente_de_vallecas,energía_reactiva,kvarh,20,20220401,nan,empresa_desconocida
social,css_guindalera,calle_pilar_de_zaragoza_28_28028_madrid,salamanca,energía_activa,kwh,00,20220401,nan,empresa_desconocida
social,css_guindalera,calle_pilar_de_zaragoza_28_28028_madrid,salamanca,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
social,css_josé_villarreal,calle_guillermo_de_osma_14_28045_madrid,arganzuela,energía_activa,kwh,123840,20220401,nan,empresa_desconocida
social,css_josé_villarreal,calle_guillermo_de_osma_14_28045_madrid,arganzuela,energía_reactiva,kvarh,2290,20220401,nan,empresa_desconocida
social,css_puerto_de_las_pilas,calle_fuentidueña_16_28031_madrid,villa_de_vallecas,energía_activa,kwh,63070,20220401,nan,empresa_desconocida
social,css_puerto_de_las_pilas,calle_fuentidueña_16_28031_madrid,villa_de_vallecas,energía_reactiva,kvarh,25860,20220401,nan,empresa_desconocida
social,css_san_filiberto,calle_san_filiberto_7_28026_madrid,usera,energía_activa,kwh,138160,20220401,nan,empresa_desconocida
social,css_san_filiberto,calle_san_filiberto_7_28026_madrid,usera,energía_reactiva,kvarh,19670,20220401,nan,empresa_desconocida
social,css_san_vicente_de_paul,calle_buitrago_del_lozoya_22_28035_madrid,fuencarral_el_pardo,energía_activa,kwh,83970,20220401,nan,empresa_desconocida
social,css_san_vicente_de_paul,calle_buitrago_del_lozoya_22_28035_madrid,fuencarral_el_pardo,energía_reactiva,kvarh,7830,20220401,nan,empresa_desconocida
deportivo,idm_la_bombilla,calle_senda_del_rey_8_28040_madrid,moncloa_aravaca,energía_activa,kwh,00,20220401,nan,empresa_desconocida
deportivo,idm_la_bombilla,calle_senda_del_rey_8_28040_madrid,moncloa_aravaca,energía_reactiva,kvarh,00,20220401,nan,empresa_desconocida
administrativo,jmd_centro,calle_mayor_72_28013_madrid,centro,energía_activa,kwh,207430,20220401,nan,empresa_desconocida
administrativo,jmd_centro,calle_mayor_72_28013_madrid,centro,energía_reactiva,kvarh,47660,20220401,nan,empresa_desconocida
administrativo,jmd_centro,calle_mayor_72_28013_madrid,centro,gas,m3,00,20220401,nan,empresa_desconocida
administrativo,jmd_chamberí,plaza_chamberi_4_28010_madrid,chamberi,energía_activa,kwh,104200,20220401,nan,empresa_desconocida
administrativo,jmd_chamberí,plaza_chamberi_4_28010_madrid,chamberi,energía_reactiva,kvarh,10980,20220401,nan,empresa_desconocida
administrativo,jmd_chamberí,plaza_chamberi_4_28010_madrid,chamberi,gas,m3,00,20220401,nan,empresa_desconocida
administrativo,jmd_ciudad_lineal,avenida_institucion_libre_de_enseñanza_16_28037_madrid,ciudad_lineal,energía_activa,kwh,00,20220401,nan,empresa_desconocida
administrativo,jmd_ciudad_lineal,avenida_institucion_libre_de_enseñanza_16_28037_madrid,ciudad_lineal,energía_reactiva,kvarh,116530,20220401,nan,empresa_desconocida
